guesses,clues,boards
"['code', 'spy']",secret,"green: ['spy', 'code', 'pass', 'match', 'beat', 'capital', 'ray', 'field', 'slip'], black: ['lead', 'round', 'center'], tan: ['part', 'fighter', 'time', 'war', 'date', 'superhero', 'play', 'vacuum', 'fall', 'cast', 'compound', 'club', 'plot']"
"['field', 'club']",sport,"green: ['pass', 'match', 'beat', 'capital', 'ray', 'field', 'slip'], black: ['lead', 'round', 'center'], tan: ['part', 'fighter', 'time', 'war', 'date', 'superhero', 'play', 'vacuum', 'fall', 'cast', 'compound', 'club', 'plot']"
"['ghost', 'witch']",halloween,"green: ['war', 'ghost', 'part', 'wind', 'light', 'mount', 'witch', 'center', 'row'], black: ['comic', 'ray', 'trip'], tan: ['force', 'sub', 'point', 'degree', 'embassy', 'mass', 'charge', 'plot', 'life', 'capital', 'contract', 'field', 'opera']"
"['trip', 'lap']",distance,"green: ['soul', 'trip', 'lap', 'row'], black: ['ninja', 'wake', 'check'], tan: ['life', 'ray', 'air', 'angel', 'spring', 'witch', 'round', 'fair', 'club', 'cast', 'scientist', 'conductor', 'date']"
"['spy', 'fighter', 'scientist']",profession,"green: ['spy', 'air', 'tag', 'angel', 'spring', 'check', 'cast', 'fighter', 'scientist'], black: ['ninja', 'round', 'row'], tan: ['soul', 'life', 'ray', 'trip', 'wake', 'center', 'lap', 'millionaire', 'witch', 'fair', 'club', 'conductor', 'date']"
"['leprechaun', 'centaur']",folklore,"green: ['club', 'switch', 'cold', 'conductor', 'leprechaun', 'ninja', 'compound', 'centaur', 'figure'], black: ['spy', 'lap', 'soul'], tan: ['alien', 'mine', 'state', 'roulette', 'genius', 'cover', 'fighter', 'luck', 'wake', 'angel', 'drop', 'fair', 'poison']"
"['cold', 'figure', 'compound']",ice,"green: ['club', 'switch', 'cold', 'conductor', 'ninja', 'compound', 'figure'], black: ['spy', 'lap', 'soul'], tan: ['alien', 'mine', 'state', 'roulette', 'genius', 'cover', 'fighter', 'luck', 'wake', 'angel', 'drop', 'fair', 'poison']"
"['conductor', 'fair']",train,"green: ['club', 'switch', 'conductor', 'ninja'], black: ['spy', 'lap', 'soul'], tan: ['alien', 'state', 'roulette', 'genius', 'cover', 'fighter', 'luck', 'wake', 'angel', 'drop', 'fair', 'poison']"
"['alien', 'angel']",fiction,"green: ['club', 'alien', 'mine', 'spy', 'wake', 'drop'], black: ['switch', 'fighter', 'soul'], tan: ['state', 'roulette', 'lap', 'cold', 'genius', 'cover', 'conductor', 'ninja', 'angel', 'fair', 'centaur', 'poison', 'figure']"
"['plot', 'part', 'row']",theater,"green: ['row', 'center', 'racket', 'part', 'slip', 'bond', 'plot', 'roulette', 'grace'], black: ['match', 'disease', 'mass'], tan: ['ray', 'check', 'life', 'green', 'force', 'cover', 'field', 'agent', 'comic', 'fighter', 'luck', 'spring', 'war']"
"['slip', 'grace']",fall,"green: ['center', 'racket', 'slip', 'bond', 'grace'], black: ['match', 'disease', 'mass'], tan: ['ray', 'check', 'life', 'green', 'force', 'cover', 'field', 'agent', 'comic', 'fighter', 'luck', 'spring', 'war']"
"['roulette', 'luck']",gambling,"green: ['life', 'green', 'cover', 'slip', 'disease', 'field', 'luck', 'roulette'], black: ['match', 'plot', 'spring'], tan: ['ray', 'check', 'center', 'force', 'racket', 'part', 'agent', 'comic', 'bond', 'fighter', 'mass', 'war', 'grace']"
"['cover', 'center']",magazine,"green: ['life', 'green', 'cover', 'disease', 'field'], black: ['match', 'plot', 'spring'], tan: ['ray', 'check', 'center', 'force', 'racket', 'part', 'agent', 'comic', 'bond', 'fighter', 'mass', 'war', 'grace']"
"['life', 'disease']",death,"green: ['life', 'green', 'disease', 'field'], black: ['match', 'plot', 'spring'], tan: ['ray', 'check', 'force', 'racket', 'part', 'agent', 'comic', 'bond', 'fighter', 'mass', 'war', 'grace']"
"['green', 'field']",pasture,"green: ['green', 'field'], black: ['match', 'plot', 'spring'], tan: ['ray', 'check', 'force', 'racket', 'part', 'agent', 'comic', 'bond', 'fighter', 'mass', 'war', 'grace']"
"['poison', 'life']",death,"green: ['pitch', 'king', 'wake', 'poison', 'cycle', 'draft'], black: ['space', 'vacuum', 'sound'], tan: ['beat', 'mine', 'lead', 'charge', 'boom', 'point', 'fighter', 'mammoth', 'revolution', 'spring', 'scientist', 'fair', 'life']"
"['wake', 'cycle']",sleep,"green: ['pitch', 'king', 'wake', 'cycle', 'draft'], black: ['space', 'vacuum', 'sound'], tan: ['beat', 'mine', 'lead', 'charge', 'boom', 'point', 'fighter', 'mammoth', 'revolution', 'spring', 'scientist', 'fair']"
"['pitch', 'draft']",baseball,"green: ['pitch', 'king', 'draft'], black: ['space', 'vacuum', 'sound'], tan: ['beat', 'mine', 'lead', 'charge', 'boom', 'point', 'fighter', 'mammoth', 'revolution', 'spring', 'scientist', 'fair']"
"['day', 'light']",sunlight,"green: ['roulette', 'ghost', 'novel', 'day', 'witch', 'code', 'light', 'scientist', 'mount'], black: ['beat', 'wind', 'sub'], tan: ['club', 'trip', 'centaur', 'lead', 'slip', 'play', 'fall', 'date', 'genius', 'tag', 'disease', 'luck', 'leprechaun']"
"['ghost', 'witch']",scary,"green: ['roulette', 'ghost', 'novel', 'witch', 'mount'], black: ['beat', 'wind', 'sub'], tan: ['club', 'trip', 'centaur', 'lead', 'slip', 'play', 'fall', 'date', 'genius', 'tag', 'disease', 'luck', 'leprechaun']"
"['club', 'beat']",music,"green: ['club', 'trip', 'beat', 'slip', 'code', 'genius', 'luck'], black: ['witch', 'disease', 'sub'], tan: ['roulette', 'ghost', 'centaur', 'wind', 'novel', 'lead', 'play', 'fall', 'date', 'tag', 'leprechaun', 'scientist', 'mount']"
"['trip', 'slip']",accident,"green: ['trip', 'slip', 'genius', 'luck'], black: ['witch', 'disease', 'sub'], tan: ['roulette', 'ghost', 'centaur', 'wind', 'novel', 'lead', 'play', 'fall', 'date', 'tag', 'leprechaun', 'scientist', 'mount']"
"['poison', 'disease']",sicken,"green: ['poison', 'spot', 'opera', 'check', 'vacuum', 'cold', 'point', 'disease', 'alien'], black: ['trip', 'superhero', 'degree'], tan: ['undertaker', 'life', 'fall', 'switch', 'lead', 'luck', 'unicorn', 'sound', 'cast', 'draft', 'time', 'war', 'compound']"
"['alien', 'cold']",space,"green: ['spot', 'opera', 'check', 'cold', 'point', 'alien'], black: ['trip', 'superhero', 'degree'], tan: ['undertaker', 'life', 'fall', 'switch', 'lead', 'luck', 'unicorn', 'sound', 'cast', 'draft', 'time', 'war', 'compound']"
"['check', 'spot']",marked,"green: ['spot', 'opera', 'check', 'point'], black: ['trip', 'superhero', 'degree'], tan: ['undertaker', 'life', 'fall', 'switch', 'lead', 'luck', 'unicorn', 'sound', 'cast', 'draft', 'time', 'war', 'compound']"
"['conductor', 'ninja']",profession,"green: ['charge', 'cover', 'state', 'conductor', 'undertaker', 'code', 'millionaire', 'ninja', 'wake'], black: ['revolution', 'contract', 'wind'], tan: ['row', 'vacuum', 'unicorn', 'mammoth', 'life', 'link', 'disease', 'point', 'change', 'air', 'roulette', 'cast', 'war']"
"['charge', 'contract']",cellphone,"green: ['charge', 'cover', 'state', 'code', 'millionaire'], black: ['revolution', 'contract', 'wind'], tan: ['row', 'vacuum', 'unicorn', 'mammoth', 'life', 'link', 'disease', 'point', 'change', 'air', 'roulette', 'cast', 'war']"
"['disease', 'life']",death,"green: ['unicorn', 'cover', 'link', 'disease', 'change', 'undertaker', 'code', 'wind', 'war'], black: ['row', 'charge', 'contract'], tan: ['vacuum', 'mammoth', 'life', 'revolution', 'state', 'point', 'air', 'conductor', 'roulette', 'millionaire', 'cast', 'ninja', 'wake']"
"['unicorn', 'link']",fictional,"green: ['unicorn', 'cover', 'link', 'change', 'undertaker', 'code', 'wind', 'war'], black: ['row', 'charge', 'contract'], tan: ['vacuum', 'mammoth', 'revolution', 'state', 'point', 'air', 'conductor', 'roulette', 'millionaire', 'cast', 'ninja', 'wake']"
"['leprechaun', 'centaur']",mythical,"green: ['club', 'spring', 'leprechaun', 'contract', 'ray', 'embassy', 'scientist', 'cover', 'centaur'], black: ['roulette', 'space', 'pitch'], tan: ['sub', 'air', 'mine', 'millionaire', 'wind', 'center', 'day', 'fighter', 'degree', 'revolution', 'angel', 'round', 'date']"
"['contract', 'cover']",document,"green: ['club', 'spring', 'contract', 'ray', 'cover'], black: ['roulette', 'space', 'pitch'], tan: ['sub', 'air', 'mine', 'millionaire', 'wind', 'center', 'day', 'fighter', 'degree', 'revolution', 'angel', 'round', 'date']"
"['air', 'wind']",atmosphere,"green: ['air', 'wind', 'roulette', 'day', 'spring', 'degree', 'ray', 'angel', 'scientist'], black: ['millionaire', 'pitch', 'centaur'], tan: ['sub', 'club', 'mine', 'center', 'space', 'fighter', 'leprechaun', 'revolution', 'contract', 'embassy', 'cover', 'round', 'date']"
"['scientist', 'degree']",researcher,"green: ['roulette', 'day', 'spring', 'degree', 'ray', 'angel', 'scientist'], black: ['millionaire', 'pitch', 'centaur'], tan: ['sub', 'club', 'mine', 'center', 'space', 'fighter', 'leprechaun', 'revolution', 'contract', 'embassy', 'cover', 'round', 'date']"
"['ray', 'day']",sunray,"green: ['roulette', 'day', 'spring', 'ray', 'angel'], black: ['millionaire', 'pitch', 'centaur'], tan: ['sub', 'club', 'mine', 'center', 'space', 'fighter', 'leprechaun', 'revolution', 'contract', 'embassy', 'cover', 'round', 'date']"
"['unicorn', 'leprechaun']",creature,"green: ['vacuum', 'date', 'change', 'war', 'force', 'unicorn', 'leprechaun', 'code', 'spot'], black: ['cast', 'match', 'novel'], tan: ['cycle', 'contract', 'plot', 'mass', 'play', 'angel', 'scientist', 'millionaire', 'fair', 'ninja', 'state', 'lap', 'ghost']"
"['war', 'force']",violence,"green: ['vacuum', 'change', 'war', 'force', 'spot'], black: ['cast', 'match', 'novel'], tan: ['cycle', 'contract', 'plot', 'mass', 'play', 'angel', 'scientist', 'millionaire', 'fair', 'state', 'lap', 'ghost']"
"['scientist', 'vacuum']",alchemist,"green: ['change', 'unicorn', 'plot', 'angel', 'scientist', 'millionaire', 'fair', 'novel', 'code'], black: ['contract', 'cast', 'spot'], tan: ['vacuum', 'date', 'war', 'cycle', 'force', 'leprechaun', 'mass', 'match', 'play', 'ninja', 'state', 'lap', 'ghost']"
"['novel', 'play']",storyline,"green: ['change', 'plot', 'angel', 'fair', 'novel'], black: ['contract', 'cast', 'spot'], tan: ['date', 'war', 'cycle', 'force', 'leprechaun', 'mass', 'match', 'play', 'ninja', 'state', 'lap', 'ghost']"
"['club', 'pitch', 'switch']",game,"green: ['pitch', 'fighter', 'compound', 'lead', 'club', 'cover'], black: ['figure', 'fall', 'slip'], tan: ['contract', 'cycle', 'superhero', 'spell', 'ghost', 'soul', 'green', 'undertaker', 'switch', 'mount', 'space', 'novel', 'drop']"
"['compound', 'fighter']",elements,"green: ['fighter', 'compound', 'cover'], black: ['figure', 'fall', 'slip'], tan: ['contract', 'cycle', 'superhero', 'spell', 'ghost', 'soul', 'green', 'undertaker', 'mount', 'space', 'novel', 'drop']"
"['superhero', 'ninja']",spiderman,"green: ['superhero', 'embassy', 'crash', 'day', 'leprechaun', 'lead', 'comic', 'compound', 'luck'], black: ['spy', 'figure', 'change'], tan: ['sound', 'conductor', 'life', 'field', 'bond', 'ninja', 'air', 'grace', 'centaur', 'tag', 'switch', 'boom', 'march']"
"['crash', 'life']",accident,"green: ['embassy', 'crash', 'day', 'leprechaun', 'lead', 'comic', 'compound', 'luck'], black: ['spy', 'figure', 'change'], tan: ['sound', 'conductor', 'life', 'field', 'bond', 'air', 'grace', 'centaur', 'tag', 'switch', 'boom', 'march']"
"['luck', 'day', 'grace']",wish,"green: ['embassy', 'day', 'leprechaun', 'lead', 'compound', 'luck'], black: ['spy', 'figure', 'change'], tan: ['sound', 'conductor', 'field', 'bond', 'air', 'grace', 'centaur', 'tag', 'switch', 'boom', 'march']"
"['lead', 'spy']",hero,"green: ['embassy', 'leprechaun', 'lead', 'compound'], black: ['spy', 'figure', 'change'], tan: ['sound', 'conductor', 'field', 'bond', 'air', 'centaur', 'tag', 'switch', 'boom', 'march']"
"['war', 'revolution']",crusade,"green: ['war', 'angel', 'cycle', 'pitch', 'undertaker', 'degree', 'spot', 'wake', 'part'], black: ['spell', 'center', 'slip'], tan: ['plot', 'sub', 'time', 'ghost', 'revolution', 'wind', 'bond', 'trip', 'date', 'vacuum', 'play', 'force', 'mine']"
"['wake', 'undertaker']",funeral,"green: ['angel', 'cycle', 'pitch', 'undertaker', 'degree', 'spot', 'wake', 'part'], black: ['spell', 'center', 'slip'], tan: ['plot', 'sub', 'time', 'ghost', 'wind', 'bond', 'trip', 'date', 'vacuum', 'play', 'force', 'mine']"
"['angel', 'ghost']",heaven,"green: ['angel', 'cycle', 'pitch', 'spot'], black: ['spell', 'center', 'slip'], tan: ['plot', 'sub', 'time', 'ghost', 'wind', 'bond', 'trip', 'date', 'vacuum', 'play', 'force', 'mine']"
"['pitch', 'plot']",baseball,"green: ['cycle', 'pitch', 'spot'], black: ['spell', 'center', 'slip'], tan: ['plot', 'sub', 'time', 'wind', 'bond', 'trip', 'date', 'vacuum', 'play', 'force', 'mine']"
"['wind', 'force']",turbulence,"green: ['spell', 'degree', 'revolution', 'wind', 'play', 'wake', 'force', 'mine'], black: ['undertaker', 'trip', 'center'], tan: ['plot', 'angel', 'cycle', 'sub', 'time', 'ghost', 'pitch', 'spot', 'bond', 'date', 'vacuum', 'part', 'slip']"
"['spell', 'ghost']",magic,"green: ['spell', 'revolution', 'play'], black: ['undertaker', 'trip', 'center'], tan: ['plot', 'angel', 'cycle', 'sub', 'time', 'ghost', 'pitch', 'spot', 'bond', 'date', 'vacuum', 'part', 'slip']"
"['revolution', 'play']",soviet,"green: ['revolution', 'play'], black: ['undertaker', 'trip', 'center'], tan: ['plot', 'angel', 'cycle', 'sub', 'time', 'pitch', 'spot', 'bond', 'date', 'vacuum', 'part', 'slip']"
"['soul', 'undertaker']",afterlife,"green: ['row', 'contract', 'slip', 'undertaker', 'lead', 'alien', 'club', 'soul', 'war'], black: ['vacuum', 'press', 'wind'], tan: ['conductor', 'lap', 'figure', 'superhero', 'bond', 'witch', 'sound', 'date', 'comic', 'sub', 'leprechaun', 'cast', 'part']"
"['witch', 'alien']",monster,"green: ['lap', 'superhero', 'contract', 'bond', 'witch', 'press', 'alien', 'date'], black: ['wind', 'sound', 'club'], tan: ['conductor', 'figure', 'vacuum', 'row', 'slip', 'undertaker', 'lead', 'comic', 'sub', 'leprechaun', 'cast', 'part', 'war']"
"['contract', 'bond']",pact,"green: ['lap', 'superhero', 'contract', 'bond', 'press', 'date'], black: ['wind', 'sound', 'club'], tan: ['conductor', 'figure', 'vacuum', 'row', 'slip', 'undertaker', 'lead', 'comic', 'sub', 'leprechaun', 'cast', 'part', 'war']"
"['check', 'pass']",verify,"green: ['cast', 'check', 'slip', 'wind', 'pass', 'wake'], black: ['round', 'match', 'cycle'], tan: ['genius', 'mount', 'change', 'mass', 'center', 'fair', 'luck', 'vacuum', 'part', 'millionaire', 'charge', 'soul']"
"['field', 'green']",run,"green: ['field', 'date', 'poison', 'agent', 'lead', 'ninja', 'lap', 'space', 'crash'], black: ['figure', 'alien', 'match'], tan: ['fighter', 'fall', 'force', 'king', 'soul', 'mass', 'opera', 'trip', 'boom', 'ghost', 'stock', 'green', 'mammoth']"
"['space', 'ninja']",black,"green: ['date', 'poison', 'agent', 'lead', 'ninja', 'lap', 'space', 'crash'], black: ['figure', 'alien', 'match'], tan: ['fighter', 'fall', 'force', 'king', 'soul', 'mass', 'opera', 'trip', 'boom', 'ghost', 'stock', 'mammoth']"
"['poison', 'crash']",deadly,"green: ['date', 'poison', 'agent', 'lead', 'lap', 'crash'], black: ['figure', 'alien', 'match'], tan: ['fighter', 'fall', 'force', 'king', 'soul', 'mass', 'opera', 'trip', 'boom', 'ghost', 'stock', 'mammoth']"
"['match', 'fighter']",fire,"green: ['fighter', 'fall', 'agent', 'mass', 'opera', 'lap', 'match', 'green'], black: ['force', 'figure', 'lead'], tan: ['date', 'poison', 'king', 'soul', 'ninja', 'trip', 'space', 'boom', 'alien', 'ghost', 'crash', 'stock', 'mammoth']"
"['green', 'fall']",leaf,"green: ['fall', 'agent', 'mass', 'opera', 'lap', 'green'], black: ['force', 'figure', 'lead'], tan: ['date', 'poison', 'king', 'soul', 'ninja', 'trip', 'space', 'boom', 'alien', 'ghost', 'crash', 'stock', 'mammoth']"
"['grace', 'angel']",heaven,"green: ['row', 'ninja', 'light', 'angel', 'grace', 'charge', 'point', 'cold', 'wake'], black: ['strike', 'check', 'switch'], tan: ['cycle', 'spring', 'well', 'club', 'beat', 'scientist', 'fall', 'fair', 'match', 'day', 'comic', 'plot', 'agent']"
"['ghost', 'soul', 'poison']",evil,"green: ['luck', 'ghost', 'part', 'boom', 'opera', 'stock', 'soul', 'figure', 'poison'], black: ['light', 'cold', 'ninja'], tan: ['check', 'lap', 'vacuum', 'undertaker', 'scientist', 'cast', 'embassy', 'march', 'beat', 'green', 'spy', 'king', 'war']"
"['boom', 'king']",blast,"green: ['luck', 'part', 'boom', 'opera', 'stock', 'figure'], black: ['light', 'cold', 'ninja'], tan: ['check', 'lap', 'vacuum', 'undertaker', 'scientist', 'cast', 'embassy', 'march', 'beat', 'green', 'spy', 'king', 'war']"
"['light', 'boom']",bright,"green: ['light', 'cast', 'embassy', 'march', 'beat', 'luck', 'part', 'opera', 'war'], black: ['king', 'ninja', 'figure'], tan: ['check', 'lap', 'vacuum', 'undertaker', 'scientist', 'green', 'ghost', 'cold', 'spy', 'boom', 'stock', 'soul', 'poison']"
"['superhero', 'comic']",spiderman,"green: ['mass', 'opera', 'ray', 'fighter', 'superhero', 'lap', 'scientist', 'fall', 'lead'], black: ['racket', 'life', 'tag'], tan: ['center', 'drop', 'trip', 'comic', 'sound', 'club', 'day', 'match', 'alien', 'boom', 'disease', 'agent', 'unicorn']"
"['opera', 'club']",singer,"green: ['mass', 'opera', 'fighter', 'lap', 'lead'], black: ['racket', 'life', 'tag'], tan: ['center', 'drop', 'trip', 'sound', 'club', 'day', 'match', 'alien', 'boom', 'disease', 'agent', 'unicorn']"
"['lead', 'fighter']",guide,"green: ['mass', 'fighter', 'lap', 'lead'], black: ['racket', 'life', 'tag'], tan: ['center', 'drop', 'trip', 'sound', 'day', 'match', 'alien', 'boom', 'disease', 'agent', 'unicorn']"
"['racket', 'club']",tennis,"green: ['center', 'mass', 'racket', 'comic', 'ray', 'day', 'match', 'scientist', 'disease'], black: ['opera', 'life', 'sound'], tan: ['drop', 'trip', 'tag', 'club', 'fighter', 'superhero', 'alien', 'boom', 'lap', 'fall', 'lead', 'agent', 'unicorn']"
"['scientist', 'disease']",research,"green: ['center', 'mass', 'comic', 'ray', 'day', 'match', 'scientist', 'disease'], black: ['opera', 'life', 'sound'], tan: ['drop', 'trip', 'tag', 'fighter', 'superhero', 'alien', 'boom', 'lap', 'fall', 'lead', 'agent', 'unicorn']"
"['day', 'ray']",sunny,"green: ['center', 'mass', 'comic', 'ray', 'day', 'match'], black: ['opera', 'life', 'sound'], tan: ['drop', 'trip', 'tag', 'fighter', 'superhero', 'alien', 'boom', 'lap', 'fall', 'lead', 'agent', 'unicorn']"
"['poison', 'death']",potion,"green: ['state', 'capital', 'date', 'crash', 'poison', 'spy', 'wind', 'ray', 'spell'], black: ['air', 'novel', 'time'], tan: ['figure', 'alien', 'disease', 'field', 'drop', 'green', 'ninja', 'cold', 'fall', 'leprechaun', 'point', 'draft', 'death']"
"['state', 'capital', 'field']",government,"green: ['state', 'capital', 'date', 'crash', 'spy', 'wind', 'ray', 'spell'], black: ['air', 'novel', 'time'], tan: ['figure', 'alien', 'disease', 'field', 'drop', 'green', 'ninja', 'cold', 'fall', 'leprechaun', 'point', 'draft']"
"['spy', 'point']",secret,"green: ['date', 'crash', 'spy', 'wind', 'ray', 'spell'], black: ['air', 'novel', 'time'], tan: ['figure', 'alien', 'disease', 'drop', 'green', 'ninja', 'cold', 'fall', 'leprechaun', 'point', 'draft']"
"['fall', 'cold']",autumn,"green: ['fall', 'link', 'draft', 'opera', 'cycle', 'agent', 'space', 'pass', 'cold'], black: ['millionaire', 'mine', 'time'], tan: ['war', 'green', 'conductor', 'club', 'center', 'spell', 'force', 'superhero', 'cast', 'part', 'code', 'bond', 'angel']"
"['sound', 'beat']",speaker,"green: ['spot', 'drop', 'sound', 'day', 'beat', 'press', 'cover'], black: ['switch', 'date', 'angel'], tan: ['spring', 'revolution', 'stock', 'link', 'space', 'check', 'pass', 'sub', 'roulette', 'mass', 'compound', 'undertaker', 'cycle']"
"['press', 'date']",calender,"green: ['spot', 'drop', 'day', 'press', 'cover'], black: ['switch', 'date', 'angel'], tan: ['spring', 'revolution', 'stock', 'link', 'space', 'check', 'pass', 'sub', 'roulette', 'mass', 'compound', 'undertaker', 'cycle']"
"['stock', 'cycle']",product,"green: ['drop', 'stock', 'link', 'beat', 'angel', 'mass', 'undertaker', 'cycle'], black: ['spring', 'switch', 'cover'], tan: ['revolution', 'lap', 'spot', 'space', 'sound', 'day', 'pass', 'sub', 'roulette', 'date', 'press', 'compound']"
"['leprechaun', 'angel']",mythical,"green: ['round', 'fair', 'leprechaun', 'stock', 'day', 'well', 'tag', 'angel', 'switch'], black: ['figure', 'drop', 'disease'], tan: ['ghost', 'racket', 'code', 'draft', 'sub', 'superhero', 'spy', 'slip', 'king', 'check', 'light', 'poison', 'alien']"
"['stock', 'day']",trading,"green: ['round', 'fair', 'stock', 'day', 'tag', 'switch'], black: ['figure', 'drop', 'disease'], tan: ['ghost', 'racket', 'code', 'draft', 'sub', 'superhero', 'spy', 'slip', 'king', 'check', 'light', 'poison', 'alien']"
"['superhero', 'ghost']",costume,"green: ['ghost', 'racket', 'draft', 'superhero', 'figure', 'poison', 'well', 'tag', 'switch'], black: ['sub', 'leprechaun', 'disease'], tan: ['round', 'code', 'fair', 'spy', 'stock', 'slip', 'king', 'day', 'check', 'light', 'drop', 'alien', 'angel']"
"['figure', 'draft']",sketch,"green: ['racket', 'draft', 'figure', 'poison', 'tag', 'switch'], black: ['sub', 'leprechaun', 'disease'], tan: ['round', 'code', 'fair', 'spy', 'stock', 'slip', 'king', 'day', 'check', 'light', 'drop', 'alien', 'angel']"
"['press', 'sound']",story,"green: ['capital', 'trip', 'revolution', 'mine', 'crash', 'plot'], black: ['press', 'light', 'lead'], tan: ['comic', 'embassy', 'row', 'spring', 'cycle', 'match', 'march', 'novel', 'well', 'contract', 'alien', 'sound']"
"['witch', 'alien']",scary,"green: ['soul', 'change', 'check', 'switch', 'sound', 'strike', 'novel', 'witch', 'undertaker'], black: ['air', 'cover', 'code'], tan: ['bond', 'pitch', 'center', 'stock', 'cycle', 'beat', 'vacuum', 'alien', 'link', 'plot', 'degree', 'draft', 'contract']"
"['change', 'switch']",alternate,"green: ['soul', 'change', 'check', 'switch', 'sound', 'strike', 'novel', 'undertaker'], black: ['air', 'cover', 'code'], tan: ['bond', 'pitch', 'center', 'stock', 'cycle', 'beat', 'vacuum', 'link', 'plot', 'degree', 'draft', 'contract']"
"['soul', 'beat']",death,"green: ['soul', 'check', 'strike', 'novel', 'undertaker'], black: ['air', 'cover', 'code'], tan: ['bond', 'pitch', 'center', 'stock', 'cycle', 'beat', 'vacuum', 'link', 'plot', 'degree', 'draft', 'contract']"
"['crash', 'trip']",accident,"green: ['cycle', 'strike', 'spy', 'code', 'ray', 'crash', 'conductor', 'plot'], black: ['time', 'leprechaun', 'pass'], tan: ['life', 'opera', 'alien', 'king', 'switch', 'drop', 'wake', 'centaur', 'change', 'part', 'trip', 'day', 'disease']"
"['leprechaun', 'centaur']",imaginary,"green: ['opera', 'alien', 'king', 'centaur', 'change', 'leprechaun', 'crash', 'conductor'], black: ['pass', 'disease', 'plot'], tan: ['cycle', 'time', 'strike', 'life', 'switch', 'drop', 'wake', 'spy', 'code', 'part', 'trip', 'ray', 'day']"
"['centaur', 'unicorn']",horse,"green: ['comic', 'conductor', 'grace', 'point', 'switch', 'life', 'link', 'unicorn', 'centaur'], black: ['agent', 'pitch', 'cycle'], tan: ['part', 'center', 'fair', 'mine', 'lead', 'change', 'scientist', 'king', 'date', 'ray', 'drop', 'mass', 'roulette']"
"['switch', 'conductor']",electricity,"green: ['comic', 'conductor', 'grace', 'point', 'switch', 'life', 'link'], black: ['agent', 'pitch', 'cycle'], tan: ['part', 'center', 'fair', 'mine', 'lead', 'change', 'scientist', 'king', 'date', 'ray', 'drop', 'mass', 'roulette']"
"['pitch', 'drop']",catcher,"green: ['comic', 'grace'], black: ['agent', 'pitch', 'cycle'], tan: ['part', 'center', 'fair', 'mine', 'lead', 'change', 'scientist', 'king', 'date', 'ray', 'drop', 'mass', 'roulette']"
"['king', 'roulette']",rich,"green: ['comic', 'part', 'center', 'scientist', 'king', 'link', 'roulette'], black: ['grace', 'cycle', 'date'], tan: ['agent', 'conductor', 'point', 'fair', 'mine', 'lead', 'change', 'switch', 'life', 'ray', 'centaur', 'mass']"
"['scientist', 'agent']",occupation,"green: ['comic', 'part', 'center', 'scientist', 'king', 'roulette'], black: ['grace', 'cycle', 'date'], tan: ['agent', 'conductor', 'fair', 'mine', 'lead', 'change', 'switch', 'life', 'ray', 'centaur', 'mass']"
"['center', 'fair']",middle,"green: ['comic', 'part', 'center', 'scientist'], black: ['grace', 'cycle', 'date'], tan: ['agent', 'conductor', 'fair', 'mine', 'lead', 'change', 'switch', 'life', 'ray', 'centaur', 'mass']"
"['superhero', 'figure']",comic,"green: ['undertaker', 'conductor', 'novel', 'draft', 'centaur', 'figure', 'superhero', 'agent', 'fall'], black: ['time', 'soul', 'witch'], tan: ['tag', 'leprechaun', 'king', 'ghost', 'fair', 'pass', 'mammoth', 'field', 'ninja', 'play', 'ray', 'spot', 'row']"
"['agent', 'conductor', 'king']",occupation,"green: ['undertaker', 'conductor', 'novel', 'draft', 'centaur', 'agent', 'fall'], black: ['time', 'soul', 'witch'], tan: ['tag', 'leprechaun', 'king', 'ghost', 'fair', 'pass', 'mammoth', 'field', 'ninja', 'play', 'ray', 'spot', 'row']"
"['novel', 'draft', 'undertaker']",writer,"green: ['undertaker', 'novel', 'draft', 'centaur', 'fall'], black: ['time', 'soul', 'witch'], tan: ['tag', 'leprechaun', 'ghost', 'fair', 'pass', 'mammoth', 'field', 'ninja', 'play', 'ray', 'spot', 'row']"
"['time', 'row', 'fall']",table,"green: ['draft', 'centaur', 'time', 'play', 'spot', 'row'], black: ['conductor', 'field', 'witch'], tan: ['undertaker', 'novel', 'leprechaun', 'king', 'figure', 'superhero', 'fair', 'pass', 'soul', 'mammoth', 'ninja', 'fall', 'ray']"
"['play', 'pass', 'field']",stage,"green: ['play', 'spot'], black: ['conductor', 'field', 'witch'], tan: ['undertaker', 'novel', 'leprechaun', 'king', 'figure', 'superhero', 'fair', 'pass', 'soul', 'mammoth', 'ninja', 'ray']"
"['genius', 'opera']",mozart,"green: ['draft', 'link', 'genius', 'opera', 'day', 'compound', 'center', 'mine', 'state'], black: ['racket', 'boom', 'embassy'], tan: ['unicorn', 'space', 'charge', 'alien', 'lap', 'contract', 'mammoth', 'switch', 'novel', 'field', 'millionaire', 'press', 'angel']"
"['draft', 'boom']",military,"green: ['draft', 'link', 'day', 'compound', 'center', 'mine', 'state'], black: ['racket', 'boom', 'embassy'], tan: ['unicorn', 'space', 'charge', 'alien', 'lap', 'contract', 'mammoth', 'switch', 'novel', 'field', 'millionaire', 'press', 'angel']"
